Date,Title,Lehrstuhl,Description,Link
2021/10/21,Exergames – KickOff unserer neuen interdisziplinären Vorlesung,"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification","Gemeinsam mit Prof. Dr. Daniel Roth vom Department Artificial Intelligence in Biomedical Engineering der Technischen Fakultät, haben wir heute unsere neue Vorlesung „Exergames“ gestartet. In dieser interdisziplinären Vorlesung kommen Studierende der Medizintechnik, Informatik, Künstlichen Intelligenz und Wirtschaftsinformatik zusammen, um in innovativen Projekten neue spielbasierte Antworten auf Herausforderungen im Bereich Demenz,...",https://gamification.rw.fau.de/2021/10/21/exergames-kickoff-unserer-neuen-interdisziplinaeren-vorlesung-gemeinsam-mit-der-tech-fakultaet/
2021/10/05,Gamification für nachhaltiges Verhalten am Arbeitsplatz: Ein Blick auf die Perspektive der Mitarbeiter,"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification","Die Förderung von nachhaltigem Mitarbeiterverhalten ist für Unternehmen angesichts des zunehmenden gesellschaftlichen Drucks in Richtung Nachhaltigkeit entscheidend. Vor allem kleine und mittlere Unternehmen (KMU) sind auf das Engagement ihrer Mitarbeiter angewiesen, um ihre Nachhaltigkeitsleistung zu verbessern, da ihnen die finanziellen Mittel für Nachhaltigkeitsmaßnahmen fehlen. Folglich besteht ein großer Bedarf an...",https://gamification.rw.fau.de/2021/10/05/gamification-fuer-nachhaltiges-verhalten-am-arbeitsplatz-ein-blick-auf-die-perspektive-der-mitarbeiter/
2021/07/14,Forschungsvorhaben zu Gamifying the Human-AI Collaboration gewinnt Preis der Emerging Talents Initiative (ETI),"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification","Können digitale Spiele und ihre Designprinzipien das Teaming zwischen Mensch und KI verbessern? Die Emerging Talents Initiative (ETI) der FAU unterstützt unsere innovative Forschung auf diesem Gebiet mit einem „Emerging Talents“-Award! Das ETI ist ein FAU-internes Talentprogramm, das herrausragenden Forschenden eine Anschubfinanzierungen zur Verfügung stellt, um ihre Reputation in einem...",https://gamification.rw.fau.de/2021/07/14/forschungsvorhaben-zu-gamifying-the-human-ai-collaboration-gewinnt-preis-der-emerging-talents-initiative-eti/
2021/06/15,Gastvortrag zu „Gamifying Sustainable Consumption“,"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification","Im Rahmen der Vorlesung Designing Gamified Systems veranstalten wir am kommenden Donnerstag, 17. Juni, einen Gastvortrag zum Thema Einsatz von Gamification bei der Förderung von nachhaltigem Konsum. Georgina Guillén-Hanson und Daniel Fernández Galeote von der Gamification Group der Tampere Universität in Finnland geben einen Einblick in Ihre Forschung und diskutieren in...",https://gamification.rw.fau.de/2021/06/15/gastvortrag-zu-gamifying-sustainable-consumption/
2021/06/03,Gaming trifft auf Sport und Mobilität,"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification","Videospiele könnten bald olympisch werden! Das IOC veranstaltet dieses Jahr überraschend ein eSports-Event als Pre-Event zu den Olympischen Spielen in Japan und die 19th Asian Games 2022 in Hangzhou werden die erste olympische Veranstaltung sein, bei der sowohl eSports als auch Sportathleten in ihren Disziplinen Goldmedaillen gewinnen können. Das hat...",https://gamification.rw.fau.de/2021/06/03/gaming-trifft-auf-sport-und-mobilitaet/
2022/08/17,Teaching in Winter Term 2022/2023,Chair of Quantitative Labor Economics,"In Winter Term 2022/2023, the chair offers two courses: Semiparametric Methods in Econometrics and Applications, 5 ECTS, for Master students Current Topics in Labor Market Policy, 5 ECTS, for Bachelor students &#160; Further information can be found here. &#160;",https://www.quantitativearbeitsoekonomik.rw.fau.de/2022/08/17/teaching-in-winter-term-22-23/
2021/08/09,Teaching in Winter Term 2021/22,Chair of Quantitative Labor Economics,"In the Winter Term 2021/22, the chair offers the following courses: &#160; Current Topics in Labor Market Policy This seminar is offered for Bachelor students of International Business Studies, International Economic Studies, Wirtschaftswissenschaften and Sozialökonomik in the 5th semester onwards. Further information can be found in the module description and...",https://www.quantitativearbeitsoekonomik.rw.fau.de/2021/08/09/teaching-in-winter-term-2021-22/
2021/03/23,Looking for Student Assistants,Chair of Quantitative Labor Economics,"The Institute for Employment Research at the Federal Employment Agency is currently looking for student assistants to work with Prof. Fitzenberger, Ph.D. The document for internal applications can be downloaded here, external applicants should submit this document.",https://www.quantitativearbeitsoekonomik.rw.fau.de/2021/03/23/looking-for-student-assistants/
2021/03/22,Teaching in Summer Semester 2021,Chair of Quantitative Labor Economics,"In the summer term 2021, the Chair of Quantitative Labor Economics offers the seminar &#8222;Current topics in labor economics&#8220; or bachelor students. Course Description &#160;",https://www.quantitativearbeitsoekonomik.rw.fau.de/2021/03/22/teaching-in-summer-semester-2021/
2022/08/19,Informationen zur Lehre im Wintersemester 2022/23,Lehrstuhl für Arbeitsmarkt- und Regionalpolitik,"Liebe Studierende, voraussichtlich und soweit möglich erfolgt die Lehre auch im Wintersemester 2022/23 in Präsenz. Herr Prof. Schnabel wird wegen eines Forschungsfreisemesters keine Lehre halten. Nähere Informationen zu den einzelnen Veranstaltungen finden Sie auf StudOn. Bitte treten Sie deshalb den Kursen auf StudOn bei, die Sie besuchen wollen! Trotz aller...",https://www.arbeitsmarkt.rw.fau.de/informationen-zur-lehre-im-wintersemester-2021-22/
2018/01/20,Vortrag „Wann sind ungleiche Löhne gerechtfertigt?“,Lehrstuhl für Arbeitsmarkt- und Regionalpolitik,Im Rahmen des Collegium Alexandrinum und der Langen Nacht der Wissenschaften hielt Prof. Schnabel einen Vortrag zum Thema &#8222;Wann sind ungleiche Löhne gerechtfertigt?&#8220;. Eine Aufzeichnung finden Sie hier.,https://www.arbeitsmarkt.rw.fau.de/festvortrag-phaenomene-des-arbeitsmarktes/
2022/12/29,Liebe Alumni – Dear Alumni: We want to hear from you!,Lehrstuhl für Corporate Sustainability Management,"A decade ago, we started our first sustainability course at FAU WiSo, FAU Erlangen-Nürnberg. Since then, thousands of students have been a part of our classes and hundreds from the Bachelor and Master programs chose to write their thesis with us. Our students are our real strength, and over these...",https://www.nachhaltigkeit.rw.fau.de/2022/12/29/liebe-alumni-dear-alumni-we-want-to-hear-from-you/
2022/12/23,Neue Themen ausgeschrieben für Abschlussarbeiten (SS 2023),Lehrstuhl für Corporate Sustainability Management,"Da die Bewerbungfrist für Bachelor-/Masterarbeiten im SS 2023 sich nähert, haben wir eine Liste mit Themen zusammengestellt, auf die Du Dich für eine Abschlussarbeit im Sommersemester 2023 bewerben kannst. Bewerbungen sind ab sofort möglich. Die Deadline ist der 20. Januar 2023. Und wie in jedem Jahr gilt natürlich auch diesmal,...",https://www.nachhaltigkeit.rw.fau.de/2022/12/23/neue-themen-ausgeschrieben-fuer-abschlussarbeiten-ss-2023/
2022/12/22,Nachhaltigkeit: Stück für Stück besser werden,Lehrstuhl für Corporate Sustainability Management,"Viele Unternehmen haben in Sachen Nachhaltigkeit schon wichtige Meilensteine erreicht. Andere Unternehmen machen sich gerade auf den Weg. Doch wie kann dies gelingen? Welche Rolle spielen Erwartungen der Kunden? Wie und wo können Unternehmen beginnen? Und warum sollte man Nachhaltigkeit nicht als Projekt, sondern als Prozess organisieren? Auf diese und...",https://www.nachhaltigkeit.rw.fau.de/2022/12/22/nachhaltigkeit-stueck-fuer-stueck-besser-werden/
2022/10/12,Ringvorlesung IMPACT – Unternehmerische Lösungen für gesellschaftliche Probleme,Lehrstuhl für Corporate Sustainability Management,Wirtschaft hat mehr als nur wirtschaftliche Folgen. Es geht immer auch um ökologische und soziale Wirkungen. Doch wie können wir diesen Impact positiv gestalten? Welche unternehmerischen (Gründungs)Ideen können drängende Herausforderungen adressieren? Und welche neuen Forschungserkenntnisse können derartige Innovationen inspirieren? Um diese Fragen geht es in der hochschulübergreifenden Ringvorlesung IMPACT. Professor:innen...,https://www.nachhaltigkeit.rw.fau.de/2022/10/12/ringvorlesung-impact-unternehmerische-loesungen-fuer-gesellschaftliche-probleme/
2022/07/19,Der Lehrstuhl zu Gast im neuen FAU-Podcast #WissenHören,Lehrstuhl für Corporate Sustainability Management,"Die FAU hat zusammen mit dem Zentralinstitut für Wissenschaftsreflexion und Schlüsselqualifikationen (ZiWiS) und funklust, den Campusmedien an der FAU, spannende und renommierte Forscherinnen und Forscher der Universität für einen neuen Podcast vor das Mikro geholt. In „#WissenHören – der Podcast, der Wissen bewegt“ (er)klären die Forschenden die brennenden Fragen ihres...",https://www.nachhaltigkeit.rw.fau.de/2022/07/19/der-lehrstuhl-zu-gast-im-neuen-fau-podcast-wissenhoeren/
2022/06/09,Neue Themen ausgeschrieben für Abschlussarbeiten WS 22/23,Lehrstuhl für Corporate Sustainability Management,"Da die Bewerbungfrist für Bachelor-/Masterarbeiten im WS 2022/23 sich nähert, haben wir eine Liste mit Themen zusammengestellt, auf die Du Dich für eine Abschlussarbeit im Wintersemester 2022/23 bewerben kannst. Bewerbungen sind ab sofort möglich. Die Deadline ist der 4. Juli. Und wie in jedem Jahr gilt natürlich auch diesmal, dass...",https://www.nachhaltigkeit.rw.fau.de/2022/06/09/neue-themen-ausgeschrieben-fuer-abschlussarbeiten-ws-22-23/
2022/06/02,Genossenschaften als Unternehmensform mit besonderen Nachhaltigkeitspotential,Lehrstuhl für Corporate Sustainability Management,"Sind Genossenschaften eine Unternehmensform mit besonderem Nachhaltigkeitspotential? In der aktuellen Ausgabe von Profil, dem Bayerischen Genossenschaftsblatt, beleuchten ein Bankvorstand, ein Aufsichtsratsvorsitzender und ein Wissenschaftler dieses Thema. Prof. Markus Beckmann durfte in diesem interessanten Austauch die Rolle des Wissenschaftlers einnehmen. &#8222;Genossenschaften haben ein großes Potenzial, nachhaltig zu wirtschaften, ähnlich wie Familienunternehmen&#8220;,...",https://www.nachhaltigkeit.rw.fau.de/2022/06/02/genossenschaften-als-unternehmensform-mit-besonderen-nachhaltigkeitspotential/
2022/04/13,+++ New Seminar! +++,Lehrstuhl für Corporate Sustainability Management,"We are happy to announce that we can offer an exciting, hands-on Social Entrepreneurship seminar this upcoming semester: The Bachelor seminar “Social Entrepreneurship in Theory and Practice (SuSe2022)” will be conducted together with our external partner Access gGmbH. Access advocates for the inclusion of people with special needs. Throughout the...",https://www.nachhaltigkeit.rw.fau.de/2022/04/13/new-seminar/
2022/03/06,Neue Seminare am Lehrstuhl CSM im SoSe 2022,Lehrstuhl für Corporate Sustainability Management,"Der Bereich Nachhaltigkeit entwickelt sich beständig weiter. Wir freuen uns,  einige dieser spannenden Entwicklungen im SoSe 2022 in unserem aktualisierten Lehrveranstaltungsangebot zu behandeln. Im Bachelorbereich finden erstmalig zwei neue Seminare statt: „Case Studies in Sustainability Management and Social Innovation“ von Herrn Dr. Francisco Layrisse (Neues Modul: Case Studies in Sustainability...",https://www.nachhaltigkeit.rw.fau.de/2022/03/06/neue-seminare-am-lehrstuhl-csm-im-sose-2022/
2021/12/17,Neue Themen ausgeschrieben für Abschlussarbeiten im SoSe 2022,Lehrstuhl für Corporate Sustainability Management,"Da die Bewerbungfrist für Bachelor-/Masterarbeiten im SS 2022 sich nähert, haben wir eine Liste mit Themen zusammengestellt, auf die Du Dich für eine Abschlussarbeit im Sommersemester 2022 bewerben kannst. Die Bewerbungsdeadline ist der 20. Januar. Und wie in jedem Jahr gilt natürlich auch diesmal, dass Ihr Euch auch mit einem...",https://www.nachhaltigkeit.rw.fau.de/2021/12/17/neue-themen-ausgeschrieben-fuer-abschlussarbeiten-im-sose-2022/
2023/01/09,Inaugural Lecture @ Neues Museum Nürnberg,Juniorprofessur für Intelligent Information Systems,"On November 15, 2022, Prof. Dr. Patrick Zschech gave his inaugural lecture on the topic &#8220;White-Box-AI: Transparent decision support based on interpretable machine learning models&#8220;.  The lecture was part of the lecture series #NUElecture, which was organized in cooperation with NEUES MUSEUM NÜRNBERG. The #NUElectures format offers a citizen-friendly platform...",https://www.intelligentsystems.wiso.rw.fau.de/2023/01/09/inaugural-lecture-neues-museum-nurnberg/
2022/11/28,Celonis @ FAU,Juniorprofessur für Intelligent Information Systems,"Last week we had the great honor to welcome Ngoc Anh Ngo from Celonis at FAU WiSo. In the context of a vivid guest lecture, she gave our #FAUstudents an easy-to-understand introduction to the topic of #ProcessMining. At the same time, we had the great opportunity to experience the diverse...",https://www.intelligentsystems.wiso.rw.fau.de/2022/11/28/celonis-fau/
2022/11/18,Systematic Review on AI for Sustainability published in CAIS,Juniorprofessur für Intelligent Information Systems,Addressing the Grand Challenges represents the central mission of humanity. Information systems (IS) as a socio-technical discipline has the responsibility to answer this call. In our latest paper we address exactly this aspect and focus on the bright side of AI and its promising potential to face our society&#8217;s grand...,https://www.intelligentsystems.wiso.rw.fau.de/2022/11/18/systematic-review-on-ai-for-sustainability-published-in-cais/
2022/11/16,New article published in Information Systems and e-Business Management,Juniorprofessur für Intelligent Information Systems,I am pleased to announce that a study was recently published in Information Systems and e-Business Management that still dates back to the time and theme of my doctoral thesis. The short summary offers some insights about the main content: &#8220;Taxonomies can serve as a valuable tool to capture dimensions...,https://www.intelligentsystems.wiso.rw.fau.de/2022/11/16/new-article-published-in-information-systems-and-e-business-management/
2022/09/26,Business Analytics Exam Review [Bachelor],Juniorprofessur für Intelligent Information Systems,"The exam review for the Bachelor course “Business Analytics” summer term 2022 will take place in Room 4.121b, Lange Gasse 20 on Tuesday, 18th of October at 17:00. Please write a short mail to patrick.zschech@fau.de / mathias.kraus@fau.de until mid-October to sign up for this review.",https://www.intelligentsystems.wiso.rw.fau.de/2022/09/26/business-analytics-exam-review-bachelor/
2022/09/15,Survey of text representation methods for NLP in IEEE Access,Juniorprofessur für Intelligent Information Systems,"In recent years, with the advent of highly scalable artificial-neural-network-based text representation methods the field of natural language processing has seen unprecedented growth and sophistication. It has become possible to distill complex linguistic information of text into multidimensional dense numeric vectors with the use of the distributional hypothesis. As a...",https://www.intelligentsystems.wiso.rw.fau.de/2022/09/15/nlp-and-text-representation-survey-in-ieee-access/
2022/08/25,Teaching program for the winter term 2022/2023,Juniorprofessur für Intelligent Information Systems,"Dear Students, We are excited to announce that we will be offering three Master courses for you in the winter semester of 2022/2023. First, we offer the course Natural Language Processing for Business Analytics (NLP4BA) in which we will teach you on how to design modern language based systems using traditional...",https://www.intelligentsystems.wiso.rw.fau.de/2022/08/25/teaching-program-for-the-winter-term-2022-2023/
2022/08/04,BMBF Grant Approved – Open PhD Position for AddIChron Project,Juniorprofessur für Intelligent Information Systems,"Im Rahmen des Forschungsprojekts “AddIChron &#8211; Akzeptanz digitaler, datenbasierter Interventionen für chronische Erkrankungen am Beispiel Typ-2-Diabetes”, gefördert durch das Bundesministerium für Bildung und Forschung (BMBF), wird zum nächstmöglichen Termin 1 Promotionsstelle (E13 TV-L, 100%) im Umfang von 24 Monaten ausgeschrieben. Bewerbungsschluss ist der 31. August 2022. &#160; Hintergrund des Projekts...",https://www.intelligentsystems.wiso.rw.fau.de/2022/08/04/bmbf-grant-approved-open-phd-position-for-addichron-project/
2022/07/05,White-Box AI: 3 Open PhD Positions,Juniorprofessur für Intelligent Information Systems,"Im Rahmen der KI-Nachwuchsforschergruppe “White-Box-AI” am Institut für Wirtschaftsinformatik der Friedrich-Alexander-Universität (FAU) Erlangen-Nürnberg, gefördert durch das Bundesministerium für Bildung und Forschung (BMBF), werden zum nächstmöglichen Termin 3 Promotionsstellen (E13 TV-L, 100%) im Umfang von 36 Monaten ausgeschrieben. Bewerbungsschluss ist der 15. August 2022. &#160; Das strategische Ziel zur Etablierung der...",https://www.intelligentsystems.wiso.rw.fau.de/2022/07/05/white-box-ai-3-open-phd-positions/
2022/06/20,Two presentations @ ECIS2022,Juniorprofessur für Intelligent Information Systems,🎉 FINALLY at a conference in person again! 🎉 In just a few hours my plane will take off for Timișoara for this year&#8217;s European Conference on Information Systems 2022 in Romania. Somehow I am excited like a little kid that this is finally possible again. I am very much looking...,https://www.intelligentsystems.wiso.rw.fau.de/2022/06/20/two-presentations-ecis2022/
2023/02/27,Gemeinsames Doktorandenseminar mit der Universität Paderborn,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Am 22. und 23. Februar fand das gemeinsame Doktorandenseminar in Nürnberg statt. Nachdem wir im letzten Jahr nach einer kurzen Corona-Pause bereits wieder in Paderborn zu Gast sein konnten, luden in diesem Jahr wir wieder zu diesem bewährten und regelmäßigen Austausch zwischen den teilnehmenden Lehrstühlen ein. Gemeinsam wurde ein Seminar...",https://www.wipaed.rw.fau.de/2023/02/27/gemeinsames-doktorandenseminar-mit-der-universitaet-paderborn-3/
2022/12/17,Open Access in der Berufbildung(sforschung),Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Das Bundesinstitut für Berufsbildung (#BIBB) hat einen Sammelband zu #OpenAccess veröffentlicht (Download unter https://www.bibb.de/dienst/veroeffentlichungen/de/publication/download/18249). Wir Herausgeber:innen (Karin Büchter, Franz Gramlinger, H.-Hugo Kremer, Nicole Naeve-Stoß, Karl Wilbers und Lars Windelband) haben dazu einen Artikel beigesteuert: „bwp@ Berufs- und Wirtschaftspädagogik – online seit 2001: Einblicke in Entwicklung, Ausrichtung und Selbstverständnis eines Open-Access-Formats“....",https://www.wipaed.rw.fau.de/2022/12/17/open-access-in-der-berufbildungsforschung/
2022/12/17,WiPäd-Studierende präsentieren auf Berufsbildungskongress Guerilla-Marketing für Ausbildung,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Auf dem Berufsbildungskongress in Nürnberg haben Bachelor-Studierende der Wirtschaftspädagogik ihr Konzept und ihre Evaluationsergebnisse zu einem Guerillamarketing für die Duale präsentiert. Guerillamarketing ist ein schnelles, unkonventionelles Marketing, das mir nur geringen Kosten auskommt und an ungewöhnlichen Orten – etwa Toiletten oder in Bars – Werbung mit ungewöhnlichen, vor allem emotional...",https://www.wipaed.rw.fau.de/2022/12/17/wipaed-studierende-praesentieren-auf-berufsbildungskongress-guerilla-marketing-fuer-ausbildung/
2022/10/28,Wir beteiligen uns mit der Stadt Nürnberg an der Public Climate School (PCS@FAU),Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Als Teil des FAU-Lokalprogramms beteiligt sich der Lehrstuhl an der Public Climate School (PCS). Die PCS soll Klimabildung in Schule, Uni und Gesellschaft bringen. Mehr Infos: https://publicclimateschool.de/. Am 8. November 2022 veranstalten wir gemeinsam mit der Stadt Nürnberg die Veranstaltung: Berufliche Bildung für Nachhaltigkeit &#8211; Ortserkundung an beruflichen Schulen der...",https://www.wipaed.rw.fau.de/2022/10/28/wir-beteiligen-uns-mit-der-stadt-nuernberg-an-der-public-climate-school/
2022/09/23,DFG-Netzwerk „Design-Based Research als methodologischer Rahmen in der Bildungsforschung (DBR-Netzwerk)“ veranstaltete Symposion,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Das DBR-Netzwerk hat das Symposion „Knowledge by Design in Education: Getting to the Core of DBR Epistemology“ an der Universität Paderborn ausgerichtet. Bildungsforschung steht vor der Herausforderung, grundlegende Erkenntnisse zu generieren und für ihren Erkenntnisgegenstand angemessene Vorgehensweisen zu wählen; gleichzeitig besteht die berechtigte Erwartung, dass Erkenntnisse aus der Forschung Entwicklungen...",https://www.wipaed.rw.fau.de/2022/09/23/dfg-netzwerk-design-based-research-als-methodologischer-rahmen-in-der-bildungsforschung-dbr-netzwerk-veranstaltete-symposion/
2022/06/30,Erfolgreiche Disputation der Doktoranden Florian Kirchhöfer und Jonas Weigert,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Am Montag den 27.06.2022 verteidigten die Doktoranden Florian Kirchhöfer und Jonas Weigert erfolgreich ihre Forschung in der abschließenden Disputation. Florian Kirchhöfer forschte zu Herausforderungen in der dualen Ausbildung von Geflüchteten mit Fokus auf vorzeitige Vertragslösungen und entwickelte ein Mentoringkonzept, um Impulse für die Gestaltung von Unterstützungsmaßnahmen zu liefern. Der Disputation...",https://www.wipaed.rw.fau.de/2022/06/30/erfolgreiche-disputation-der-doktoranden-florian-kirchhoefer-und-jonas-weigert/
2022/06/14,LeadVET-Projekt-Auftakt in Trondheim (Norwegen),Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Am 07.06. und 08.06.2022 fand das erste Transnational Project Meeting (TPM) des LeadVET-Projektes in Trondheim, Norwegen statt. Das übergreifende Ziel von LeadVET ist, die Ausbildung berufsschulischer Lehrkräfte (Vocational Teacher Education) durch die Entwicklung nachhaltiger Partnerschaften zwischen Universitäten und Schulen sowie Führungs- und Netzwerkfähigkeiten für Fachkräfte in diesem Bereich zu verbessern....",https://www.wipaed.rw.fau.de/2022/06/14/leadvet-projekt-auftakt-in-trondheim-norwegen/
2022/05/04,Fachkräftesicherung durch eine gekoppelte Fortbildung zu Industrie 4.0 und künstlicher Intelligenz in industriellen Prozessen,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"In der jüngsten Veröffentlichung des Lehrstuhls, einem Sammelbandbeitrag in der Zeitschrift für Berufs- und Wirtschaftspädagogik, wird die Entwicklung einer gekoppelten Fortbildung auf DQR-Stufe 5 innerhalb des InnoVET-Projektes BIRD skizziert. Im Beitrag wird eine gekoppelte Fortbildung als eine Fortbildung verstanden, die verschiedene Fortbildungsbereiche verbindet (horizontale Koppelung) und die in vor- und...",https://www.wipaed.rw.fau.de/2022/05/04/fachkraeftesicherung-durch-eine-gekoppelte-fortbildung-zu-industrie-4-0-und-kuenstlicher-intelligenz-in-industriellen-prozessen/
2022/04/28,Bildung und Resilienz,Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Der Aktionsrat Bildung hat das Gutachten „Resilienz und Bildung“ (Download: https://www.aktionsrat-bildung.de/fileadmin/Dokumente/Gutachten_pdfs/ARB_Gutachten_2022_WEB.pdf) veröffentlicht. Der Aktionsrat Bildung ist ein politisch unabhängiges Expertengremium, das von der Vereinigung der Bayerischen Wirtschaft initiiert wurde. Er verfolgt das Ziel, die Lage des Bildungssystems zu analysieren, zu bewerten und Handlungsempfehlungen zu formulieren, die sich vor allem an...",https://www.wipaed.rw.fau.de/2022/04/28/bildung-und-resilienz/
2022/04/28,Einführung Berufs- und Wirtschaftspädagogik jetzt in der 3. Auflage (open access),Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,"Die Berufspädagogik und Wirtschaftspädagogik hat den Anspruch, die Studierenden sowohl für schulische als auch für betriebliche Lernwelten zu qualifizieren. Die Einführung möchte diesem Anspruch gerecht werden. Rechtzeitig zum neuen Semester. In der dritten Auflage finden Sie eine Fülle von Präzisierungen, Ergänzungen und Vertiefungen, die ich Hinweisen der Studierenden und laufenden...",https://www.wipaed.rw.fau.de/2022/04/28/einfuehrung-berufs-und-wirtschaftspaedagogik-jetzt-in-der-3-auflage-open-access/
2023/01/26,Lehrveranstaltungen im Sommersemester 2023,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,"Unsere Lehrveranstaltungen, die im Sommersemester 2023 angeboten werden, finden Sie hier.",https://www.pm.rw.fau.de/2023/01/26/https-www-pm-rw-fau-de-lehre-lehrveranstaltungen-sose-2023/
2023/01/19,Lebenszyklusorientierte Karriereplanung – Ein Weg für Frauen in Führungspositionen,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,Frau Dr. Eva-Maria Tolimir veröffentlicht ihre Dissertation zum Thema Lebenszyklusorientierte Karriereplanung &#8211; Ein Weg für Frauen in Führungspositionen,https://www.pm.rw.fau.de/2023/01/19/lebenszyklusorientierte-karriereplanung-ein-weg-fuer-frauen-in-fuehrungspositionen/
2023/01/12,In-plant alliances can mitigate economic crisis impacts,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,Veröffentlichung von Prof. Dr. Lutz Bellmann und Prof. Dr. Werner Widuckel in IZA World of Labour.,https://www.pm.rw.fau.de/2023/01/12/in-plant-alliances-can-mitigate-economic-crisis-impacts/
2022/12/02,Professor Widuckel erhält Renate-Wittern-Sterzel-Preis 2022,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,Prof. Widuckel hat im Rahmen der Verleihung der FAU Awards 2022 den Renate-Wittern-Sterzel-Preis für Gleichstellung der FAU für sein außerordentliches gleichstellungs- und diversitätsbezogenes Engagement im Fachbereich Wirtschafts- und Sozialwissenschaften und an der gesamten FAU erhalten. &#160;,https://www.pm.rw.fau.de/2022/12/02/professor-widuckel-erhaelt-renate-wittern-sterzel-preis-2022/
2022/10/13,Partizipation und Un_gleichzeitigkeit,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,"Die Veröffentlichung der Autoren Natalie Bella, Julia Gamradt, Ronald Staples, Werner Widuckel , Matthäus Wilga, Michael Whittall Partizipation und Un_gleichzeitigkeit Eine Herausforderung für die Mitbestimmung ist im Springer Verlag erschienen.",https://www.pm.rw.fau.de/2022/10/13/partizipation-und-un_gleichzeitigkeit/
2022/09/02,Lehrveranstaltungen im Wintersemester 2022/23,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,"Unsere Lehrveranstaltungen, die im Wintersemester 2022/23 angeboten werden, finden Sie hier.",https://www.pm.rw.fau.de/2022/09/02/lehrveranstaltungen-im-wintersemester-2020-21/
2022/01/13,Gute Basisarbeit – ein Widerspruch?,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,"Professor Widuckel veröffentlichte den Aufsatz &#8222;Gute Basisarbeit &#8211; ein Widerspruch?&#8220; im Sammelband &#8222;Basisarbeit Mittendrin und außen vor&#8220;, herausgegeben von Große-Jäger, A.; Hauser, R.; Lauenstein, O; May-Schmidt, J.; Merfert, M.;  Stiegler, F.;  Zwingmann, B. und der Synergie VertriebsDienstleistung GmbH Bonn.",https://www.pm.rw.fau.de/2022/01/13/gute-basisarbeit-ein-widerspruch/
2022/01/13,Von der KI ausgehende Beschäftigungseffekte und die Veränderungen der Arbeitsorganisation,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,Professor Widuckel und Professor Bellmann veröffentlichten im Sammelband &#8222;Arbeitswelt und KI 2030&#8220; den Artikel &#8222;Von der KI ausgehende Beschäftigungseffekte und die Veränderungen der Arbeitsorganisation&#8220;.,https://www.pm.rw.fau.de/2022/01/13/von-der-ki-ausgehende-beschaeftigungseffekte-und-die-veraenderungen-der-arbeitsorganisation/
2021/11/16,Mitbestimmung in der Transformation,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,"Professor Widuckel veröffentlichte im Sammelband &#8222;Strategische Personalarbeit in der Transformation&#8220; den Artikel &#8222;Mitbestimmung in der Transformation&#8220;. Eine konstruktive Zusammenarbeit zwischen Personal- und Mitbestimmungsverantwortlichen ist &#8211; so die Botschaft dieses Buchs &#8211; der Schlüssel für gute und breit akzeptierte Lösungen. Wissenschaftliche Analysen und Praxisbeispiele zeigen, dass Mitbestimmung auf Augenhöhe die Zufriedenheit...",https://www.pm.rw.fau.de/2021/11/16/mitbestimmung-in-der-transformation/
2021/03/19,Bewerbung Bachelor- und Masterarbeiten,Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,Die nächsten Stichtage für Bewerbungen sind 10. März 2023 (für den Start der Abschlussarbeit im SoSe 2023) 10. Juni 2023 (für den Start der Abschlussarbeit im Sommer oder WiSe 2023/24) 10. September 2023 (für den Start der Abschlussarbeit im WiSe 2023/24) 10. Dezember 2023 (für den Start der Abschlussarbeit im...,https://www.pm.rw.fau.de/2021/03/19/bewerbung-bachelor-und-masterarbeiten/
